Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1744322927,1,,Aggregated,0.000000,0.000000,930,1700,3600,14000,16000,16000,16000,16000,16000,16000,16000,10,3,650.0,3923.3285500005877,533.5221999994246,16285.375999999815,10214.7
1744322928,1,,Aggregated,0.000000,0.000000,930,1700,3600,14000,16000,16000,16000,16000,16000,16000,16000,10,3,650.0,3923.3285500005877,533.5221999994246,16285.375999999815,10214.7
1744322929,1,,Aggregated,0.000000,0.000000,930,1700,3600,14000,16000,16000,16000,16000,16000,16000,16000,10,3,650.0,3923.3285500005877,533.5221999994246,16285.375999999815,10214.7
1744322930,1,,Aggregated,0.000000,0.000000,930,1700,3600,14000,16000,16000,16000,16000,16000,16000,16000,10,3,650.0,3923.3285500005877,533.5221999994246,16285.375999999815,10214.7
1744322931,1,,Aggregated,0.000000,0.000000,930,1700,3600,14000,16000,16000,16000,16000,16000,16000,16000,10,3,650.0,3923.3285500005877,533.5221999994246,16285.375999999815,10214.7
1744322932,1,,Aggregated,0.000000,0.000000,930,1700,3600,14000,16000,16000,16000,16000,16000,16000,16000,10,3,650.0,3923.3285500005877,533.5221999994246,16285.375999999815,10214.7
1744322933,1,,Aggregated,0.000000,0.000000,930,1700,3600,14000,16000,16000,16000,16000,16000,16000,16000,10,3,650.0,3923.3285500005877,533.5221999994246,16285.375999999815,10214.7
1744322934,1,,Aggregated,0.000000,0.000000,930,1700,3600,14000,16000,16000,16000,16000,16000,16000,16000,10,3,650.0,3923.3285500005877,533.5221999994246,16285.375999999815,10214.7
1744322935,1,,Aggregated,0.000000,0.000000,930,1700,3600,14000,16000,16000,16000,16000,16000,16000,16000,10,3,650.0,3923.3285500005877,533.5221999994246,16285.375999999815,10214.7
1744322936,1,,Aggregated,0.000000,0.000000,930,1700,3600,14000,16000,16000,16000,16000,16000,16000,16000,10,3,650.0,3923.3285500005877,533.5221999994246,16285.375999999815,10214.7
1744322937,1,,Aggregated,0.000000,0.000000,930,1700,3600,14000,16000,16000,16000,16000,16000,16000,16000,10,3,650.0,3923.3285500005877,533.5221999994246,16285.375999999815,10214.7
1744322938,1,,Aggregated,0.000000,0.000000,930,1700,3600,14000,16000,16000,16000,16000,16000,16000,16000,10,3,650.0,3923.3285500005877,533.5221999994246,16285.375999999815,10214.7
1744322939,1,,Aggregated,0.000000,0.000000,930,1700,3600,14000,16000,16000,16000,16000,16000,16000,16000,10,3,650.0,3923.3285500005877,533.5221999994246,16285.375999999815,10214.7
