epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
49,35039,0.49242,0.56923,0.36574,0.88257,0.97906,0.94933,0.97462,0.82311,0.97533,0.94571,0.97016,0.79977,0.48778,0.62179,0.3137,0.84312,0.00260002,0.00260002,0.00260002
50,35705.8,0.49416,0.56907,0.36522,0.88337,0.96789,0.9541,0.97791,0.82818,0.96978,0.95429,0.97411,0.80547,0.48981,0.61636,0.31617,0.84398,0.00255002,0.00255002,0.00255002
51,36350.4,0.4809,0.56578,0.35655,0.87941,0.95767,0.96812,0.97979,0.82642,0.95676,0.96722,0.97573,0.80294,0.4938,0.61328,0.31486,0.84787,0.00250003,0.00250003,0.00250003
52,37001.6,0.48741,0.57417,0.35853,0.88161,0.95962,0.96365,0.97462,0.82168,0.9587,0.96275,0.9747,0.80765,0.49386,0.61955,0.31589,0.84671,0.00245003,0.00245003,0.00245003
53,37651.2,0.48218,0.55924,0.35538,0.87902,0.96667,0.96067,0.97365,0.82669,0.96598,0.95658,0.96892,0.80067,0.47887,0.61857,0.3121,0.84015,0.00240003,0.00240003,0.00240003
54,38306.8,0.47994,0.55709,0.35104,0.87989,0.97012,0.96331,0.97948,0.82975,0.97012,0.96331,0.97706,0.80361,0.47895,0.61475,0.31296,0.8386,0.00235003,0.00235003,0.00235003
55,38954.2,0.4758,0.55461,0.34808,0.88027,0.97566,0.96105,0.97997,0.83426,0.97472,0.95972,0.97835,0.80688,0.47904,0.62019,0.30897,0.83682,0.00230003,0.00230003,0.00230003
56,39607.9,0.4767,0.56026,0.34955,0.87951,0.98165,0.9602,0.97754,0.83111,0.98069,0.9593,0.97669,0.79897,0.48246,0.62535,0.30975,0.83947,0.00225003,0.00225003,0.00225003
57,40260.3,0.47041,0.54652,0.34283,0.87559,0.9811,0.96111,0.9791,0.83088,0.97812,0.95828,0.9765,0.80675,0.47774,0.62467,0.3016,0.8397,0.00220003,0.00220003,0.00220003
58,40912.8,0.47348,0.54762,0.34128,0.87548,0.97358,0.9602,0.97896,0.82838,0.97141,0.95749,0.97679,0.79704,0.47638,0.6213,0.29919,0.83848,0.00215003,0.00215003,0.00215003
59,41570.7,0.47425,0.54737,0.34216,0.87608,0.97541,0.96045,0.97993,0.83058,0.97636,0.96135,0.97757,0.80898,0.48037,0.61264,0.29855,0.83816,0.00210003,0.00210003,0.00210003
60,42224.9,0.4676,0.55303,0.34144,0.87676,0.97767,0.96044,0.97732,0.8303,0.97672,0.95953,0.97713,0.80489,0.49071,0.62576,0.30269,0.84394,0.00205003,0.00205003,0.00205003
61,42874.2,0.46219,0.5342,0.33231,0.87223,0.97772,0.96044,0.97909,0.83026,0.97799,0.955,0.97551,0.80753,0.48199,0.61512,0.29668,0.8428,0.00200003,0.00200003,0.00200003
62,43525.1,0.46692,0.5497,0.33839,0.87478,0.97618,0.95991,0.9799,0.83624,0.9752,0.95839,0.97503,0.80684,0.47244,0.61112,0.29618,0.83627,0.00195003,0.00195003,0.00195003
63,44179,0.46137,0.53922,0.3292,0.87226,0.97567,0.96026,0.981,0.83304,0.97571,0.95837,0.97821,0.8094,0.47346,0.61422,0.29301,0.83717,0.00190003,0.00190003,0.00190003
64,44829.3,0.46134,0.53929,0.32795,0.87375,0.96825,0.95919,0.97816,0.82824,0.97128,0.9561,0.97633,0.79882,0.47804,0.61727,0.30382,0.83903,0.00185003,0.00185003,0.00185003
65,45489.8,0.4595,0.5364,0.32848,0.87399,0.97583,0.95591,0.97943,0.83092,0.97487,0.955,0.97714,0.80518,0.47922,0.60243,0.30225,0.84238,0.00180003,0.00180003,0.00180003
66,46138,0.45553,0.52883,0.32359,0.87202,0.9773,0.95282,0.97912,0.83096,0.97537,0.95101,0.97564,0.80589,0.47107,0.61035,0.30377,0.83805,0.00175003,0.00175003,0.00175003
67,46795.8,0.45648,0.52366,0.32285,0.87054,0.96587,0.96517,0.97806,0.82911,0.96495,0.96427,0.97757,0.80837,0.47669,0.61302,0.29845,0.83998,0.00170003,0.00170003,0.00170003
68,47452.6,0.4533,0.52073,0.32266,0.87149,0.96589,0.96835,0.98009,0.83032,0.96405,0.96595,0.97929,0.8104,0.47926,0.6074,0.2976,0.83998,0.00165003,0.00165003,0.00165003
69,48111.1,0.45063,0.52795,0.32068,0.87211,0.96181,0.96826,0.98298,0.83785,0.96219,0.96315,0.97726,0.80583,0.47054,0.60659,0.29376,0.83938,0.00160003,0.00160003,0.00160003
70,48774.6,0.44995,0.52323,0.32096,0.87182,0.97219,0.96394,0.98154,0.83448,0.97032,0.96213,0.97731,0.80994,0.47546,0.60229,0.29594,0.83969,0.00155003,0.00155003,0.00155003
71,49427.2,0.44695,0.52709,0.31749,0.86965,0.97401,0.96401,0.98167,0.83736,0.97307,0.9631,0.97937,0.80639,0.46956,0.61212,0.29499,0.83765,0.00150004,0.00150004,0.00150004
72,50087.9,0.44302,0.51844,0.315,0.8673,0.97124,0.96564,0.98238,0.83551,0.97124,0.96564,0.97974,0.80872,0.46593,0.60431,0.28949,0.83501,0.00145004,0.00145004,0.00145004
73,50745.6,0.44449,0.51385,0.31449,0.86732,0.96619,0.96998,0.98151,0.83786,0.96335,0.96727,0.97585,0.80976,0.46656,0.59788,0.28888,0.83372,0.00140004,0.00140004,0.00140004
74,51400.8,0.44309,0.51274,0.31091,0.86765,0.96424,0.96561,0.97934,0.83819,0.96145,0.9629,0.97579,0.81111,0.46546,0.60853,0.28954,0.83291,0.00135004,0.00135004,0.00135004
75,52054.6,0.44246,0.51138,0.30694,0.86723,0.96505,0.96977,0.97884,0.8358,0.96322,0.96796,0.97748,0.80665,0.47004,0.61063,0.29284,0.83157,0.00130004,0.00130004,0.00130004
76,52706.8,0.43784,0.51333,0.30389,0.86567,0.95822,0.97907,0.97849,0.83505,0.95556,0.97636,0.97753,0.80898,0.46688,0.61166,0.28931,0.8301,0.00125004,0.00125004,0.00125004
77,53367.3,0.4356,0.50338,0.30415,0.86443,0.96315,0.97075,0.97901,0.83732,0.95951,0.96713,0.97492,0.80504,0.46424,0.60888,0.28681,0.83405,0.00120004,0.00120004,0.00120004
78,769.544,0.42712,0.50075,0.29248,0.8619,0.97258,0.95863,0.97836,0.83786,0.95879,0.96758,0.97625,0.80955,0.46456,0.6041,0.28812,0.83182,0.00115004,0.00115004,0.00115004
79,1519.73,0.42634,0.49601,0.29684,0.86349,0.95687,0.97747,0.98119,0.83642,0.956,0.97629,0.98022,0.812,0.46354,0.60856,0.28285,0.83063,0.00110004,0.00110004,0.00110004
80,2256.86,0.42805,0.49753,0.29627,0.8643,0.9677,0.9696,0.98237,0.84021,0.96585,0.96778,0.97966,0.81443,0.46395,0.59967,0.28207,0.83083,0.00105004,0.00105004,0.00105004
81,2977.99,0.42496,0.50068,0.29179,0.86327,0.96508,0.97413,0.97974,0.8402,0.96418,0.97323,0.98047,0.8138,0.46043,0.59739,0.2805,0.83219,0.00100004,0.00100004,0.00100004
82,3705.86,0.41898,0.4934,0.28806,0.86281,0.97267,0.97198,0.98092,0.83814,0.97083,0.97017,0.98019,0.81101,0.4623,0.59927,0.27525,0.83423,0.00095004,0.00095004,0.00095004
83,4426.44,0.42046,0.49079,0.28802,0.8621,0.97291,0.97386,0.98119,0.83853,0.97107,0.97235,0.97898,0.81009,0.46365,0.59997,0.27726,0.83408,0.000900041,0.000900041,0.000900041
84,5158.4,0.41444,0.48803,0.28511,0.85962,0.96855,0.97173,0.98165,0.84119,0.96672,0.96992,0.97795,0.81232,0.46089,0.60503,0.27466,0.83182,0.000850042,0.000850042,0.000850042
85,5873.36,0.41445,0.49102,0.28112,0.85812,0.97067,0.96879,0.98317,0.84282,0.96882,0.96698,0.9807,0.81438,0.45966,0.61169,0.27443,0.83143,0.000800042,0.000800042,0.000800042
86,6597.52,0.40882,0.48062,0.27782,0.8596,0.96777,0.96941,0.98374,0.84463,0.9659,0.9676,0.98148,0.8151,0.46078,0.61925,0.27455,0.8318,0.000750043,0.000750043,0.000750043
87,7325.46,0.4112,0.48489,0.28209,0.85877,0.96578,0.97279,0.98295,0.8434,0.96486,0.97188,0.98024,0.8138,0.45754,0.62012,0.27284,0.83061,0.000700043,0.000700043,0.000700043
88,8047.03,0.40791,0.47446,0.27271,0.85863,0.95802,0.97943,0.98166,0.84108,0.95552,0.97467,0.97597,0.8109,0.45948,0.62467,0.27534,0.8322,0.000650044,0.000650044,0.000650044
89,8772.61,0.40455,0.47504,0.27305,0.85714,0.96202,0.97581,0.9807,0.8434,0.95932,0.97309,0.97872,0.81036,0.45967,0.62801,0.27215,0.83176,0.000600044,0.000600044,0.000600044
90,9501.33,0.40211,0.46925,0.26937,0.85725,0.96554,0.9749,0.981,0.84109,0.96395,0.97011,0.97841,0.81234,0.46318,0.63096,0.27429,0.83276,0.000550045,0.000550045,0.000550045
91,10271.4,0.39787,0.49333,0.25256,0.82915,0.9684,0.97021,0.98154,0.84019,0.96656,0.96828,0.97702,0.81055,0.46567,0.62777,0.27805,0.83291,0.000500045,0.000500045,0.000500045
92,11011.7,0.39292,0.48454,0.24477,0.82408,0.96912,0.96643,0.98338,0.84192,0.96813,0.96311,0.97727,0.80911,0.46739,0.63621,0.27737,0.83343,0.000450045,0.000450045,0.000450045
93,11748.8,0.3907,0.47567,0.2425,0.82213,0.96965,0.96577,0.98353,0.84168,0.96968,0.96302,0.98069,0.81025,0.4684,0.64268,0.27783,0.8344,0.000400046,0.000400046,0.000400046
94,12487.2,0.38408,0.47487,0.23621,0.81999,0.96707,0.96463,0.98262,0.84254,0.96922,0.96125,0.98069,0.81027,0.46928,0.64452,0.28013,0.83317,0.000350046,0.000350046,0.000350046
95,13228.6,0.38131,0.47151,0.23319,0.82078,0.96807,0.96096,0.98384,0.84241,0.96713,0.96006,0.98078,0.81161,0.46901,0.64068,0.28147,0.83315,0.000300047,0.000300047,0.000300047
96,13972,0.37637,0.46544,0.23056,0.81969,0.96487,0.9684,0.98335,0.84117,0.96395,0.9675,0.98044,0.81336,0.46799,0.63866,0.27983,0.83236,0.000250048,0.000250048,0.000250048
97,14713.1,0.37147,0.46807,0.22546,0.81401,0.97218,0.9682,0.9829,0.84219,0.97032,0.96639,0.97965,0.81384,0.46721,0.63374,0.27905,0.83166,0.000200048,0.000200048,0.000200048
98,15458.1,0.36517,0.45513,0.22217,0.81539,0.96977,0.969,0.98271,0.84292,0.96792,0.96719,0.97897,0.81242,0.46725,0.63482,0.27581,0.83124,0.000150049,0.000150049,0.000150049
99,16192.5,0.3645,0.45493,0.22064,0.8155,0.96358,0.97321,0.98255,0.84391,0.96176,0.97139,0.97894,0.81265,0.46706,0.63591,0.27546,0.83092,0.000100049,0.000100049,0.000100049
100,16936.1,0.36359,0.46034,0.2166,0.81604,0.96284,0.97198,0.98246,0.84371,0.96102,0.97017,0.97883,0.81327,0.46564,0.63796,0.27452,0.83116,5.00495e-05,5.00495e-05,5.00495e-05
