epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
49,1797.74,0.45786,0.52946,0.32646,0.86783,0.96021,0.95477,0.97998,0.8193,0.95639,0.95115,0.9749,0.80156,0.49122,0.62721,0.33105,0.84711,0.000520005,0.000520005,0.000520005
50,1835.2,0.45615,0.50581,0.33317,0.87397,0.97319,0.95202,0.9804,0.82342,0.97319,0.95202,0.97288,0.79893,0.49296,0.60156,0.33205,0.8485,0.000510005,0.000510005,0.000510005
51,1871.43,0.45414,0.51966,0.32471,0.8677,0.97018,0.9647,0.97845,0.82742,0.97018,0.9647,0.97527,0.81301,0.49078,0.61298,0.32823,0.85982,0.000500005,0.000500005,0.000500005
52,1907.91,0.45196,0.51907,0.32594,0.86975,0.96249,0.96108,0.97853,0.82841,0.9587,0.95746,0.97542,0.80424,0.50291,0.65448,0.32568,0.85593,0.000490005,0.000490005,0.000490005
53,1944.55,0.45398,0.52747,0.32666,0.8666,0.95541,0.96564,0.97522,0.8214,0.95541,0.96564,0.97509,0.79577,0.48867,0.60514,0.31084,0.84578,0.000480005,0.000480005,0.000480005
54,1982.59,0.44972,0.53,0.3266,0.86335,0.97924,0.95154,0.98319,0.81817,0.97536,0.94792,0.98027,0.79232,0.51683,0.63422,0.33226,0.85844,0.000470005,0.000470005,0.000470005
55,2018.71,0.44993,0.5184,0.32786,0.86822,0.95968,0.96657,0.97899,0.82395,0.95968,0.96657,0.97899,0.80842,0.51827,0.59913,0.34045,0.85914,0.000460005,0.000460005,0.000460005
56,2054.33,0.45066,0.5192,0.32607,0.86862,0.96539,0.96229,0.97504,0.82643,0.96539,0.96229,0.97451,0.8062,0.48334,0.59728,0.32699,0.85087,0.000450006,0.000450006,0.000450006
57,2090.22,0.43915,0.51359,0.32103,0.86668,0.96737,0.9568,0.97962,0.82698,0.96737,0.9568,0.97675,0.80628,0.50103,0.63919,0.32756,0.8465,0.000440006,0.000440006,0.000440006
58,2126.3,0.44404,0.50511,0.31498,0.86787,0.95583,0.96976,0.98314,0.83692,0.97314,0.95115,0.97716,0.80282,0.48263,0.59532,0.30784,0.84348,0.000430006,0.000430006,0.000430006
59,2161.91,0.43762,0.51797,0.31441,0.86221,0.9734,0.95773,0.97973,0.8262,0.9734,0.95773,0.97973,0.80837,0.51075,0.61401,0.32189,0.85192,0.000420006,0.000420006,0.000420006
60,2196.92,0.44115,0.51498,0.31624,0.86549,0.95749,0.96557,0.97888,0.83023,0.96154,0.96083,0.97847,0.80942,0.49554,0.60583,0.324,0.85075,0.000410006,0.000410006,0.000410006
61,2234.47,0.43156,0.50533,0.30554,0.86511,0.97263,0.95519,0.98107,0.82693,0.97263,0.95519,0.97915,0.81009,0.50026,0.61815,0.31154,0.8545,0.000400006,0.000400006,0.000400006
62,2271.61,0.43467,0.50307,0.30801,0.86678,0.97571,0.95746,0.97892,0.82855,0.97571,0.95746,0.97498,0.79037,0.47204,0.62193,0.29853,0.8415,0.000390006,0.000390006,0.000390006
63,2306.91,0.43687,0.51764,0.31072,0.86601,0.96285,0.96201,0.97831,0.81918,0.96285,0.96201,0.97783,0.81033,0.50234,0.60016,0.3209,0.85075,0.000380006,0.000380006,0.000380006
64,2345.58,0.43364,0.50202,0.30755,0.86297,0.96952,0.964,0.98359,0.82451,0.96575,0.96042,0.9767,0.7953,0.47662,0.60429,0.315,0.85125,0.000370006,0.000370006,0.000370006
