epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
51,2342.42,0.51768,0.58749,0.39404,0.88945,0.93818,0.94561,0.97191,0.80943,0.93818,0.94561,0.97191,0.78625,0.5308,0.67054,0.40445,0.86319,0.00250003,0.00250003,0.00250003
52,2362.51,0.51968,0.59866,0.39665,0.89169,0.9225,0.95484,0.9636,0.79776,0.9225,0.95484,0.96432,0.77813,0.52911,0.67531,0.45504,0.86774,0.00245003,0.00245003,0.00245003
53,2383.16,0.52409,0.60247,0.39838,0.8875,0.96706,0.94121,0.96628,0.80195,0.96158,0.93034,0.95782,0.78282,0.53083,0.6797,0.36435,0.8718,0.00240003,0.00240003,0.00240003
54,2403.82,0.52054,0.59732,0.39915,0.88842,0.95936,0.94483,0.96886,0.79376,0.95527,0.94121,0.96658,0.77111,0.5493,0.66289,0.40961,0.87961,0.00235003,0.00235003,0.00235003
55,2423.58,0.51036,0.583,0.38214,0.88992,0.95643,0.95831,0.96646,0.79182,0.95273,0.95469,0.96578,0.7952,0.5431,0.67007,0.37486,0.87653,0.00230003,0.00230003,0.00230003
56,2443.86,0.51537,0.58654,0.38385,0.89115,0.95764,0.94577,0.96199,0.79242,0.95481,0.94067,0.95781,0.79584,0.54254,0.69011,0.38475,0.87309,0.00225003,0.00225003,0.00225003
57,2463.44,0.50261,0.58399,0.37759,0.88705,0.94824,0.95746,0.97305,0.8104,0.94824,0.95746,0.97152,0.79562,0.54274,0.68093,0.3868,0.87398,0.00220003,0.00220003,0.00220003
58,2483.44,0.50601,0.57394,0.37408,0.88718,0.97303,0.94308,0.97676,0.8162,0.97303,0.94308,0.97676,0.80625,0.52217,0.64332,0.36668,0.86801,0.00215003,0.00215003,0.00215003
59,2502.99,0.50175,0.57749,0.37721,0.88173,0.948,0.93852,0.97353,0.81071,0.94586,0.9349,0.9637,0.78139,0.5133,0.63622,0.39261,0.87186,0.00210003,0.00210003,0.00210003
60,2522.64,0.50177,0.57834,0.38154,0.8844,0.95604,0.95175,0.9752,0.81335,0.95604,0.95175,0.97286,0.79177,0.51372,0.66516,0.36684,0.861,0.00205003,0.00205003,0.00205003
61,2542.79,0.49423,0.57489,0.37495,0.88596,0.97503,0.94691,0.97145,0.81001,0.97498,0.94465,0.96603,0.78972,0.54906,0.65702,0.39199,0.86982,0.00200003,0.00200003,0.00200003
62,2563.42,0.50215,0.58208,0.3754,0.8874,0.96581,0.94936,0.97119,0.81253,0.96581,0.94936,0.96982,0.79388,0.51479,0.6501,0.35487,0.86334,0.00195003,0.00195003,0.00195003
63,2583.94,0.49708,0.58133,0.37026,0.88519,0.92079,0.9494,0.96453,0.80893,0.92079,0.9494,0.96407,0.79842,0.51163,0.62053,0.39133,0.85772,0.00190003,0.00190003,0.00190003
64,2605.54,0.49444,0.56953,0.36689,0.88379,0.95521,0.96108,0.97869,0.82411,0.95521,0.96108,0.97863,0.80119,0.50118,0.6275,0.32687,0.86108,0.00185003,0.00185003,0.00185003
65,2625.27,0.50076,0.57367,0.3722,0.88376,0.96502,0.95116,0.97602,0.81719,0.95736,0.94397,0.97163,0.80282,0.54833,0.64505,0.34748,0.87922,0.00180003,0.00180003,0.00180003
66,2646.44,0.48752,0.56597,0.36406,0.88594,0.9659,0.95608,0.97138,0.82122,0.9659,0.95608,0.97138,0.80725,0.49953,0.63179,0.35229,0.86552,0.00175003,0.00175003,0.00175003
67,2666.21,0.48525,0.55325,0.35756,0.88409,0.98393,0.94846,0.98055,0.82357,0.98137,0.94473,0.97777,0.79901,0.50986,0.64536,0.32905,0.85984,0.00170003,0.00170003,0.00170003
68,2686.93,0.48495,0.56535,0.35815,0.87532,0.96434,0.95477,0.97789,0.81551,0.96434,0.95477,0.97432,0.78529,0.5022,0.62693,0.34567,0.8688,0.00165003,0.00165003,0.00165003
69,2707.04,0.48214,0.56235,0.35257,0.87957,0.95322,0.94066,0.97427,0.8271,0.95322,0.94066,0.97011,0.81128,0.51046,0.61968,0.34579,0.85063,0.00160003,0.00160003,0.00160003
70,2727.59,0.47778,0.54397,0.34595,0.87714,0.97575,0.95477,0.98135,0.82289,0.98012,0.94615,0.97845,0.80809,0.50315,0.61727,0.33397,0.86207,0.00155003,0.00155003,0.00155003
71,2747.34,0.48759,0.55614,0.34898,0.87844,0.96735,0.95571,0.97317,0.81759,0.96735,0.95571,0.97086,0.79789,0.51414,0.63223,0.34808,0.87125,0.00150004,0.00150004,0.00150004
72,2767.84,0.47538,0.55545,0.35103,0.88316,0.95078,0.96224,0.9785,0.82728,0.94703,0.95862,0.97613,0.79854,0.49674,0.62274,0.33444,0.86126,0.00145004,0.00145004,0.00145004
73,2788.39,0.4705,0.5481,0.34029,0.87162,0.98605,0.95446,0.98198,0.83857,0.98605,0.95446,0.97812,0.81303,0.48778,0.61436,0.31391,0.85266,0.00140004,0.00140004,0.00140004
74,2809.39,0.47717,0.55998,0.34621,0.8808,0.94618,0.95477,0.97834,0.81687,0.94618,0.95477,0.97168,0.79311,0.52128,0.65086,0.37266,0.86844,0.00135004,0.00135004,0.00135004
75,2829.69,0.47022,0.55926,0.34181,0.87421,0.9557,0.95669,0.98018,0.83678,0.9639,0.94846,0.97564,0.81054,0.48139,0.61755,0.30605,0.85041,0.00130004,0.00130004,0.00130004
76,2850.1,0.46603,0.54137,0.33874,0.87573,0.97637,0.9557,0.98094,0.82821,0.97919,0.94958,0.97236,0.80253,0.48736,0.61487,0.31733,0.85302,0.00125004,0.00125004,0.00125004
77,2870.36,0.46521,0.53847,0.34019,0.87243,0.97183,0.95104,0.97834,0.82837,0.97243,0.95078,0.97496,0.80607,0.49259,0.62147,0.31902,0.8513,0.00120004,0.00120004,0.00120004
78,2890.41,0.4654,0.53285,0.34081,0.87579,0.96812,0.96108,0.97872,0.83003,0.96812,0.96108,0.97662,0.7999,0.47396,0.62183,0.32513,0.84416,0.00115004,0.00115004,0.00115004
79,2911.06,0.45934,0.53179,0.33063,0.8723,0.97682,0.94357,0.98027,0.83337,0.97797,0.94341,0.97529,0.80696,0.49333,0.63279,0.3187,0.84593,0.00110004,0.00110004,0.00110004
80,2932.46,0.45756,0.52816,0.33311,0.8709,0.97126,0.95239,0.97293,0.82367,0.97126,0.95239,0.97058,0.80215,0.50408,0.60396,0.32909,0.85645,0.00105004,0.00105004,0.00105004
81,2952.74,0.46083,0.52781,0.33221,0.87511,0.94989,0.96516,0.97477,0.83151,0.94989,0.96516,0.97134,0.80128,0.48591,0.60477,0.33863,0.86162,0.00100004,0.00100004,0.00100004
82,2972.73,0.45509,0.54238,0.32204,0.86971,0.97132,0.95477,0.9792,0.83134,0.97116,0.95115,0.97629,0.79516,0.49998,0.62278,0.31466,0.86017,0.00095004,0.00095004,0.00095004
83,2993,0.45321,0.52039,0.33325,0.87393,0.96573,0.96108,0.97708,0.83479,0.96573,0.96108,0.97768,0.81828,0.48084,0.59685,0.30976,0.84666,0.000900041,0.000900041,0.000900041
84,3013.23,0.4457,0.51882,0.3248,0.87244,0.97458,0.95477,0.97802,0.83547,0.97062,0.95115,0.9758,0.80826,0.46927,0.61209,0.30648,0.84586,0.000850042,0.000850042,0.000850042
85,3033.85,0.43887,0.50289,0.31346,0.86753,0.97477,0.95296,0.97703,0.83427,0.97477,0.95296,0.97769,0.81006,0.46374,0.60175,0.30787,0.83886,0.000800042,0.000800042,0.000800042
86,3053.84,0.44583,0.5296,0.318,0.86845,0.97259,0.96108,0.98042,0.84383,0.96872,0.95746,0.97425,0.8089,0.4751,0.59828,0.30632,0.83734,0.000750043,0.000750043,0.000750043
87,3073.89,0.43302,0.50603,0.30993,0.86643,0.98794,0.95208,0.9806,0.84023,0.98794,0.95208,0.97843,0.81441,0.4651,0.58723,0.29589,0.83811,0.000700043,0.000700043,0.000700043
88,3094.5,0.4388,0.52098,0.30765,0.86537,0.96656,0.96108,0.98004,0.83387,0.96656,0.96108,0.97663,0.80959,0.49035,0.59757,0.31514,0.85356,0.000650044,0.000650044,0.000650044
89,3114.79,0.43999,0.51448,0.30818,0.86622,0.97729,0.95477,0.98311,0.83151,0.97729,0.95477,0.98169,0.80372,0.48013,0.61323,0.30582,0.85125,0.000600044,0.000600044,0.000600044
90,3135.7,0.43226,0.50707,0.30565,0.86657,0.98033,0.96167,0.98088,0.83895,0.98033,0.96167,0.9807,0.81676,0.46884,0.6286,0.29231,0.8358,0.000550045,0.000550045,0.000550045
91,3196.79,0.43506,0.53336,0.2979,0.84532,0.96654,0.9573,0.97726,0.83435,0.96268,0.95368,0.96933,0.80788,0.46263,0.61306,0.31291,0.83664,0.000500045,0.000500045,0.000500045
92,3218.95,0.43705,0.53241,0.28319,0.83616,0.97134,0.95989,0.98122,0.83485,0.96749,0.95627,0.97653,0.81117,0.47398,0.61915,0.29583,0.8392,0.000450045,0.000450045,0.000450045
93,3239.74,0.42007,0.52915,0.27601,0.83833,0.97055,0.95739,0.98168,0.83601,0.96676,0.95377,0.97756,0.80492,0.47916,0.60969,0.29444,0.85375,0.000400046,0.000400046,0.000400046
94,3259.97,0.41995,0.50964,0.27074,0.83394,0.97245,0.95986,0.98222,0.83793,0.96862,0.95623,0.97861,0.80423,0.47561,0.62119,0.29109,0.84329,0.000350046,0.000350046,0.000350046
95,3281.59,0.41457,0.52006,0.27688,0.83401,0.98222,0.95684,0.98187,0.83398,0.97833,0.95328,0.97747,0.80759,0.47249,0.62913,0.28536,0.83876,0.000300047,0.000300047,0.000300047
96,3302.38,0.41121,0.50701,0.26211,0.83131,0.9744,0.96108,0.98228,0.84182,0.97046,0.95746,0.97642,0.81903,0.46161,0.61057,0.27456,0.83366,0.000250048,0.000250048,0.000250048
97,3323.22,0.40888,0.50687,0.2576,0.82984,0.97342,0.96108,0.98168,0.83858,0.96957,0.95746,0.97777,0.81346,0.46871,0.61805,0.27368,0.83745,0.000200048,0.000200048,0.000200048
98,3344.94,0.40339,0.49618,0.25111,0.82579,0.9674,0.96694,0.98067,0.84488,0.96365,0.96332,0.97693,0.8118,0.46054,0.61762,0.27296,0.83966,0.000150049,0.000150049,0.000150049
99,3366.38,0.40199,0.49356,0.25052,0.82591,0.96757,0.96562,0.98162,0.8418,0.9638,0.96203,0.97755,0.80922,0.46623,0.62328,0.27467,0.84309,0.000100049,0.000100049,0.000100049
100,3386.18,0.40029,0.49639,0.24969,0.82471,0.96683,0.96713,0.98258,0.84064,0.96309,0.96351,0.97839,0.81147,0.46463,0.62077,0.27226,0.84022,5.00495e-05,5.00495e-05,5.00495e-05
